Year,Company,Person,Project,Person Type,Project Url,Technology,Topic,Gender
2017,Catrobat,Annemarie,Refactoring – Reimplementing all UI tests in Espresso - 2017 - Google Summer of Code Archive,mentor,https://coffeeclstrfck.wordpress.com/2017/08/19/gsoc17-catroid-ui-test-refactoring/,android,education,female
2017,Catrobat,thmq,Refactoring/Redesigning Pocket Code - 2017 - Google Summer of Code Archive,student,https://docs.google.com/document/d/1tpjjW7__Pxf0gFMdReUypbLeeF3_2juQhCMPkjJOxwA/edit?usp=sharing,android,education,female
2017,Catrobat,Sebastian Schrimpf,Refactoring/Redesigning Pocket Code - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1tpjjW7__Pxf0gFMdReUypbLeeF3_2juQhCMPkjJOxwA/edit?usp=sharing,android,education,female
2017,Catrobat,Wolfgang Slany,Refactoring/Redesigning Pocket Code - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1tpjjW7__Pxf0gFMdReUypbLeeF3_2juQhCMPkjJOxwA/edit?usp=sharing,android,education,male
2017,Checkstyle,Liangchen Luo,Regression Testing Tool and HTML Report Generator for Pull Request - 2017 - Google Summer of Code Archive,student,https://docs.google.com/document/d/1gOdpkTxLFjbYLV0cPAnwwKZWJ0jCcwIuIuF1jAddsAA/edit?usp=sharing, java,static code analysisâ€Ž,male
2017,Checkstyle,Richard Veach,Regression Testing Tool and HTML Report Generator for Pull Request - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1gOdpkTxLFjbYLV0cPAnwwKZWJ0jCcwIuIuF1jAddsAA/edit?usp=sharing, java,static code analysisâ€Ž,unknown
2017,Checkstyle,Roman Ivanov,Regression Testing Tool and HTML Report Generator for Pull Request - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1gOdpkTxLFjbYLV0cPAnwwKZWJ0jCcwIuIuF1jAddsAA/edit?usp=sharing, java,static code analysisâ€Ž,male
2017,Scala,Andrzej SoÅ‚tysik,Reimplement the JDK in Scala Native - 2017 - Google Summer of Code Archive,student,https://docs.google.com/document/d/1QbR64n12P7JhJ0MfzS1MSFh7XPEKBOHNoGfYTVTrcpk/edit?usp=sharing,scala,compiler,male
2017,Scala,Martin Duhem,Reimplement the JDK in Scala Native - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1QbR64n12P7JhJ0MfzS1MSFh7XPEKBOHNoGfYTVTrcpk/edit?usp=sharing,scala,compiler,male
2017,Scala,Denys Shabalin,Reimplement the JDK in Scala Native - 2017 - Google Summer of Code Archive,mentor,https://docs.google.com/document/d/1QbR64n12P7JhJ0MfzS1MSFh7XPEKBOHNoGfYTVTrcpk/edit?usp=sharing,scala,compiler,male
2017,mlpack,Shangtong Zhang,Reinforcement Learning Framework - 2017 - Google Summer of Code Archive,student,http://mlpack.org/gsocblog/deep-reinforcement-learning-methods-summary.html,c++,machine learning,male
2017,mlpack,Marcus Edel,Reinforcement Learning Framework - 2017 - Google Summer of Code Archive,mentor,http://mlpack.org/gsocblog/deep-reinforcement-learning-methods-summary.html,c++,machine learning,male
2017,radare2,Srimanta Barua,Remote debugging with gdbserver - 2017 - Google Summer of Code Archive,student,https://gist.github.com/SrimantaBarua/e216b557aa1ecbcc7c2963cd35827098,c,reverse engineering,male
2017,radare2,Anton Kochkov,Remote debugging with gdbserver - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/SrimantaBarua/e216b557aa1ecbcc7c2963cd35827098,c,reverse engineering,male
2017,radare2,pancake,Remote debugging with gdbserver - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/SrimantaBarua/e216b557aa1ecbcc7c2963cd35827098,c,reverse engineering,male
2017,LibreOffice,Varun Dhall,Replace EditEngine binary clipboard with ODF filter - 2017 - Google Summer of Code Archive,student,https://github.com/varundhall/Google-Summer-of-Code,c++,office suite,female
2017,LibreOffice,Michael Stahl,Replace EditEngine binary clipboard with ODF filter - 2017 - Google Summer of Code Archive,mentor,https://github.com/varundhall/Google-Summer-of-Code,c++,office suite,male
2017,LibreOffice,erAck,Replace EditEngine binary clipboard with ODF filter - 2017 - Google Summer of Code Archive,mentor,https://github.com/varundhall/Google-Summer-of-Code,c++,office suite,male
2017,TEAMMATES @ National University of Singapore,Taras Sakharchuk,Reports enhancement - 2017 - Google Summer of Code Archive,student,https://github.com/TEAMMATES/teammates/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3ALimeTheCoder%20is%3Aclosed%20review%3Aapproved%20,java,education,female
2017,TEAMMATES @ National University of Singapore,Wilson Kurniawan,Reports enhancement - 2017 - Google Summer of Code Archive,mentor,https://github.com/TEAMMATES/teammates/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3ALimeTheCoder%20is%3Aclosed%20review%3Aapproved%20,java,education,male
2017,TEAMMATES @ National University of Singapore,samsontmr,Reports enhancement - 2017 - Google Summer of Code Archive,mentor,https://github.com/TEAMMATES/teammates/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3ALimeTheCoder%20is%3Aclosed%20review%3Aapproved%20,java,education,male
2017,TEAMMATES @ National University of Singapore,xiaopu,Reports enhancement - 2017 - Google Summer of Code Archive,mentor,https://github.com/TEAMMATES/teammates/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3ALimeTheCoder%20is%3Aclosed%20review%3Aapproved%20,java,education,female
2017,Zenodo,Xiao Meng,Research Data Metadata Extraction - 2017 - Google Summer of Code Archive,student,https://gist.github.com/xiaom/106b9d111726cc99017b7efe7aead01c,python,content management,female
